4,"C1, C2, C11, C12",22 uF,445-14428-2-ND
1,C3,1 uF,1276-1860-2-ND
2,"C4, C5",100uF,490-GRM31CR61A107MEA8KTR-ND
8,"C6, C7, C8, C9, C10, C13, C14, C15",0.1uF,490-GRM155R62A104KE14JTR-ND
1,C18,100uF,399-EEV107M050S9MAATR-ND
1,D1,XMC7K24CA,112-XMC7K24CAHM3/ITR-ND
2,"D3, D5",2.3V 20mA,754-1124-2-ND
1,D4,BZX84-C13,BZX84C13-FDITR-ND
1,D6,PESD5V0C1BSFYL,1727-2175-1-ND
1,F1,5A,F1889-ND
1,IC2,TPS51397ARJER,296-TPS51397ARJERTR-ND
2,"J2, J8",JST XH 01x02,455-B2B-XH-A-ND
1,L1,1.8 uH,541-1313-2-ND
1,Q1,SiA471DJ,SIA471DJ-T1-GE3TR-ND
1,Q2,SiA430DJT,742-SIA430DJT-T1-GE3CT-ND
3,"R1, R5, R11",33K,CR0402-FX-3302GLFTR-ND
1,R3,110K,CR0402-FX-1103GLFTR-ND
1,R4,180K,CR0402-FX-1803GLFTR-ND
1,R6,1K,311-1.00KLRTR-ND
3,"R7, R12, R13",110K,CR0402-FX-1103GLFTR-ND
1,R8,10K,CR0402-FX-1002GLFTR-ND
1,R14,15K,CR0402-FX-1502GLFTR-ND
1,U1,LM74700,296-LM74700QDBVRQ1CT-ND