Designator,Qty,Mfg Part #,Value,Package/Footprint
"C1","1","VEJ221M1HTR-1010","220uF","SMD-ECAP-10x10"
"C2,C3,C4","3","CL10A105KB8NNNC","1 uF","0603"
"C5","1","RVT1A331M0607","330uF","SMD_6.3x7.7mm"
"D2,D6","2","SS54","SS54","DO-214AC"
"D3,D5","2","19-213/Y2C-CQ2R2L/3T(CY)","2.3V 20mA","0603"
"F1","1","0154005.DR","5A","SMD-2_5.03x9.73x3.81"
"L1","1","YSPI1365-470M","47 uH","12x12"
"Q1,Q3","2","AO3401A","30V 4A 44mÎ©","SOT-23"
"Q2","1","MMDT5401","50nA 150V 200mW 200mA","SOT-363"
"R1","1","0603WAF1002T5E","10K","0402"
"R10","1","0603WAF1002T5E","10K","0603"
"R2","1","0402WGF4702TCE","47K","0402"
"R6","1","0402WGF2000TCE","200","0402"
"R8","1","0402WGF1501TCE","1.5K","0402"
"R9","1","0603WAF3301T5E","3.3K","0603"
"U1","1","XL4015E1","XL4015","TO-263-5"